Product Name,Launch Year,Status,What it does?,Brand
Amazon.com,1994,Active,E-commerce platform,Amazon 
Amazon Prime,2005,Active,Subscription service offering various benefits,Amazon 
Amazon Web Services (AWS),2006,Active,Cloud computing platform,Amazon 
Kindle,2007,Active,E-reader for electronic books,Amazon 
Amazon Echo,2014,Active,Smart speaker with virtual assistant (Alexa),Amazon 
Amazon Fire TV,2014,Active,Streaming media player and smart TV platform,Amazon 
Amazon Fire Tablet,2011,Active,Tablet computer,Amazon 
Audible,1995,Active,Audiobook and spoken-word entertainment,Amazon 
Amazon Fresh,2007,Active,Grocery delivery and pickup service,Amazon 
Amazon Pantry,2014,Active (Limited),Grocery and household items delivery,Amazon 
Amazon Music,2007,Active,Music streaming service,Amazon 
Amazon Prime Video,2006,Active,Video streaming service,Amazon 
Amazon Studios,2010,Active,Film and television production,Amazon 
Whole Foods Market,1980,Active,Supermarket chain acquired by Amazon,Amazon 
Zappos,1999,Active,Online shoe and clothing retailer,Amazon 
Twitch,2011,Active,Live streaming platform for gamers,Amazon 
Ring,2013,Active,Smart home security products,Amazon 
PillPack,2013,Active,Online pharmacy,Amazon 
Goodreads,2007,Active,Social cataloging website for books,Amazon 
IMDb,1990,Active,"Online database of information related to films, television programs, and video games",Amazon 
Amazon Go,2018,Active,Cashier-less convenience stores,Amazon 
Amazon Air,2016,Active,Cargo airline for package delivery,Amazon 
Amazon Robotics,2003,Active,Automation technology for fulfillment centers,Amazon 
Amazon Fashion,2002,Active,Fashion retail platform,Amazon 
Amazon Pharmacy,2020,Active,Online prescription medication ordering and delivery,Amazon 
Amazon Sidewalk,2019,Active,Neighborhood network for smart devices,Amazon 
Amazon Luna,2020,Active,Cloud gaming service,Amazon 
Amazon Pharmacy,2020,Active,Online prescription medication ordering and delivery,Amazon 
Amazon Business,2015,Active,B2B e-commerce platform,Amazon 
Amazon Dash,2014,Discontinued,Branded buttons for quick reordering of products,Amazon 
Amazon Dash Wand,2017,Discontinued,Handheld barcode scanner and voice assistant,Amazon 
Amazon Game Studios,2012,Active,Video game development and publishing,Amazon 
Amazon Key,2017,Active,In-home and in-car package delivery,Amazon 
Amazon Music Unlimited,2016,Active,Premium music streaming service,Amazon 
Amazon Halo,2020,Active,Health and wellness tracking,Amazon 
Amazon Pharmacy (acquired PillPack),2018,Active,Online pharmacy and prescription delivery,Amazon 
Macintosh,1984,Active,Personal computer,Apple 
iPhone,2007,Active,Smartphone,Apple 
iPad,2010,Active,Tablet computer,Apple 
MacBook Air,2008,Active,Lightweight laptop,Apple 
MacBook Pro,2006,Active,High-performance laptop,Apple 
iMac,1998,Active,All-in-one desktop computer,Apple 
Mac Pro,2006,Active,High-end desktop computer,Apple 
iPod,2001,Discontinued,Portable media player,Apple 
iTunes (discontinued),2001,Discontinued,"Media player, media library, and online store",Apple 
Apple Watch,2015,Active,Smartwatch with health and fitness features,Apple 
Apple TV,2007,Active,Digital media player and streaming device,Apple 
AirPods,2016,Active,Wireless earbuds,Apple 
HomePod,2018,Discontinued,Smart speaker with virtual assistant,Apple 
Apple Music,2015,Active,Music streaming service,Apple 
Apple Pay,2014,Active,Mobile payment and digital wallet service,Apple 
Apple Card,2019,Active,Credit card issued by Apple,Apple 
macOS (formerly OS X),2001,Active,Operating system for Mac computers,Apple 
iOS,2007,Active,"Operating system for iPhone, iPad, and iPod Touch",Apple 
iPadOS,2019,Active,Operating system specifically for iPad,Apple 
watchOS,2015,Active,Operating system for Apple Watch,Apple 
tvOS,2015,Active,Operating system for Apple TV,Apple 
Safari,2003,Active,Web browser,Apple 
iWork,2005,Active,"Productivity suite including Pages, Numbers, and Keynote",Apple 
iLife (discontinued),2003,Discontinued,"Suite of multimedia software (iPhoto, iMovie, GarageBand)",Apple 
Final Cut Pro,1999,Active,Video editing software,Apple 
Logic Pro,1990,Active,Digital audio workstation,Apple 
GarageBand,2004,Active,Music creation software,Apple 
iCloud,2011,Active,Cloud storage and cloud computing service,Apple 
App Store,2008,Active,Digital distribution platform for software on iOS,Apple 
Apple News,2015,Active,News aggregator and digital newsstand,Apple 
Apple Fitness+,2020,Active,Fitness service with guided workouts,Apple 
Apple Arcade,2019,Active,Game subscription service,Apple 
Apple One,2020,Active,Bundle of Apple's subscription services,Apple 
Apple Silicon,2020,Active,Transition from Intel processors to Apple-designed processors for Macs,Apple 
AirTag,2021,Active,Item tracker using the Find My network,Apple 
Apple Podcasts,2005,Active,Podcast directory and streaming service,Apple 
MagSafe,2006,Active,Proprietary magnet-based charging technology,Apple 
Baidu Search,2000,Active,Search engine,Baidu 
Baidu Maps,2005,Active,Mapping and navigation,Baidu 
Baidu Baike (Baidu Encyclopedia),2006,Active,Chinese-language online encyclopedia,Baidu 
Baidu Cloud,2012,Active,Cloud storage and services,Baidu 
Baidu Tieba,2003,Active,Online community and forum platform,Baidu 
Baidu Zhidao (Baidu Knows),2005,Active,Question-and-answer platform,Baidu 
Baidu Pan (Baidu Cloud Drive),2012,Active,Cloud storage service,Baidu 
Baidu Wangpan (Baidu Netdisk),2012,Active,File hosting and sharing service,Baidu 
Baidu Video,2012,Active,Video hosting and streaming service,Baidu 
Baidu Image Search,2011,Active,Image search engine,Baidu 
Baidu News,2005,Active,News aggregator,Baidu 
Baidu Wenku (Baidu Library),2009,Active,Online document sharing platform,Baidu 
Baidu Baijiahao,2016,Active,Content creation and publishing platform,Baidu 
Baidu Yun (Baidu Cloud),2013,Active,Cloud computing and artificial intelligence services,Baidu 
Baidu Mobile Assistant,2010,Active,Android app store,Baidu 
Baidu Translate,2014,Active,Language translation service,Baidu 
Baidu Input Method,2008,Active,Chinese and English input method for mobile devices,Baidu 
Baidu Wallet,2014,Active,Mobile payment and financial services,Baidu 
Baidu Tieba (Mobile),2008,Active,Mobile version of Baidu Tieba online community,Baidu 
Baidu Haokan,2018,Active,Short-form video platform,Baidu 
Baidu DuerOS,2015,Active,Conversational AI platform,Baidu 
Apollo (Baidu Apollo),2017,Active,Autonomous driving platform,Baidu 
Baidu Cloud Intelligent Speech,2014,Active,Speech recognition and synthesis technology,Baidu 
Baidu Facial Recognition,2015,Active,Facial recognition technology,Baidu 
Baidu Cloud AI Open Platform,2016,Active,Artificial intelligence (AI) development platform,Baidu 
Baidu Maps (International),2010,Active,International version of Baidu Maps,Baidu 
Baidu Baike (International),2006,Active,International version of Baidu Baike (Baidu Encyclopedia),Baidu 
Baidu Wallet (International),2016,Active,International version of Baidu Wallet,Baidu 
Baidu Music,2011,Active,Music streaming service,Baidu 
Baidu Knows (International),2005,Active,International version of Baidu Zhidao (Baidu Knows),Baidu 
Baidu Encyclopedia (International),2010,Active,International version of Baidu Baike (Baidu Encyclopedia),Baidu 
Douyin (TikTok in international markets),2016,Active,Short-form video platform,ByteDance 
Toutiao (Today's Headlines),2012,Active,News and information platform,ByteDance 
